strategy,direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,prev_close,today_open,gap_pct,atr,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
gap_fill,long,473.82,466.74142857142857,487.97714285714284,466.74142857142857,2024-07-24 12:03:00-04:00,2024-07-24 09:30:00-04:00,-7.0786,stop,480.62,473.82,-0.014148,7.0785714285714265,2024-07-24,10,-70.79,1.42,-72.21,10038.75,0.0095
gap_fill,short,462.66,471.16071428571433,445.65857142857146,463.07,2024-07-26 15:45:00-04:00,2024-07-26 09:30:00-04:00,-0.41,eod_close,458.27,462.66,0.00958,8.500714285714285,2024-07-26,10,-4.1,1.39,-5.49,10033.26,0.01
gap_fill,short,475.04,482.81162142857147,459.4967571428572,474.13,2024-08-30 15:45:00-04:00,2024-08-30 09:30:00-04:00,0.91,eod_close,470.66,475.04,0.009306,7.771621428571434,2024-08-30,10,9.1,1.43,7.67,10040.94,0.0093
gap_fill,short,453.04,461.49563571428575,436.1287285714286,453.4,2024-09-09 15:45:00-04:00,2024-09-09 09:30:00-04:00,-0.36,eod_close,448.69,453.04,0.009695,8.455635714285709,2024-09-09,11,-3.96,1.5,-5.46,10035.48,0.0098
gap_fill,short,487.45,494.0960714285714,474.15785714285715,486.89,2024-10-04 15:45:00-04:00,2024-10-04 09:30:00-04:00,0.56,eod_close,481.59,487.45,0.012168,6.646071428571422,2024-10-04,10,5.6,1.46,4.14,10039.62,0.0094
gap_fill,short,496.42,502.7010714285714,483.85785714285714,491.78,2024-10-17 15:45:00-04:00,2024-10-17 09:30:00-04:00,4.64,eod_close,490.91,496.42,0.011224,6.281071428571429,2024-10-17,10,46.4,1.49,44.91,10084.53,0.005
gap_fill,short,492.11,498.2660714285714,479.79785714285714,492.4,2024-10-24 15:45:00-04:00,2024-10-24 09:30:00-04:00,-0.29,eod_close,488.36,492.11,0.007679,6.156071428571424,2024-10-24,10,-2.9,1.48,-4.38,10080.15,0.0054
gap_fill,short,498.46,504.6060714285714,486.16785714285714,496.03,2024-10-28 15:45:00-04:00,2024-10-28 09:30:00-04:00,2.43,eod_close,495.32,498.46,0.006339,6.146071428571422,2024-10-28,10,24.3,1.5,22.8,10102.96,0.0031
gap_fill,long,492.37,486.45464285714286,504.20071428571424,486.45464285714286,2024-10-31 10:39:00-04:00,2024-10-31 09:30:00-04:00,-5.9154,stop,496.38,492.37,-0.008078,5.915357142857131,2024-10-31,10,-59.15,1.48,-60.63,10042.33,0.0091
gap_fill,long,502.94,496.37545,516.0691,496.37545,2024-11-15 11:58:00-05:00,2024-11-15 09:30:00-05:00,-6.5645,stop,508.69,502.94,-0.011304,6.564550000000009,2024-11-15,9,-59.08,1.36,-60.44,9981.89,0.0151
gap_fill,short,509.9,516.9418642857142,495.8162714285714,506.11,2024-11-25 15:45:00-05:00,2024-11-25 09:30:00-05:00,3.79,eod_close,505.79,509.9,0.008126,7.041864285714297,2024-11-25,9,34.11,1.38,32.73,10014.62,0.0119
gap_fill,short,520.32,526.7649,507.43020000000007,523.235,2024-12-04 15:45:00-05:00,2024-12-04 09:30:00-05:00,-2.915,eod_close,516.87,520.32,0.006675,6.444899999999994,2024-12-04,9,-26.23,1.4,-27.64,9986.98,0.0146
gap_fill,short,524.98,530.6367785714286,513.6664428571429,530.26,2024-12-11 15:45:00-05:00,2024-12-11 09:30:00-05:00,-5.28,eod_close,520.6,524.98,0.008413,5.656778571428573,2024-12-11,9,-47.52,1.42,-48.94,9938.04,0.0194
gap_fill,short,530.46,535.9442785714286,519.4914428571429,530.6307,2024-12-13 15:45:00-05:00,2024-12-13 09:30:00-05:00,-0.1707,eod_close,526.5,530.46,0.007521,5.484278571428571,2024-12-13,9,-1.54,1.43,-2.97,9935.08,0.0197
gap_fill,short,521.19,528.0547071428572,507.46058571428574,515.66,2024-12-19 15:45:00-05:00,2024-12-19 09:30:00-05:00,5.53,eod_close,516.47,521.19,0.009139,6.864707142857144,2024-12-19,9,49.77,1.41,48.36,9983.44,0.0149
gap_fill,long,510.44,503.3688714285714,524.5822571428571,524.5822571428571,2024-12-20 12:28:00-05:00,2024-12-20 09:30:00-05:00,14.1423,target,514.17,510.44,-0.007254,7.071128571428574,2024-12-20,9,127.28,1.38,125.9,10109.34,0.0025
gap_fill,long,515.51,506.86600714285714,532.7979857142857,517.16,2024-12-30 15:45:00-05:00,2024-12-30 09:30:00-05:00,1.65,eod_close,522.56,515.51,-0.013491,8.64399285714286,2024-12-30,9,14.85,1.39,13.46,10122.8,0.0012
gap_fill,short,524.02,533.5986642857142,504.8626714285714,523.645,2025-01-06 15:45:00-05:00,2025-01-06 09:30:00-05:00,0.375,eod_close,518.58,524.02,0.01049,9.578664285714284,2025-01-06,9,3.38,1.41,1.96,10124.76,0.001
gap_fill,long,501.2,491.7246285714286,520.1507428571429,504.58,2025-01-13 15:45:00-05:00,2025-01-13 09:30:00-05:00,3.38,eod_close,507.19,501.2,-0.01181,9.47537142857142,2025-01-13,10,33.8,1.5,32.3,10157.06,0.0
gap_fill,short,529.57,538.8602500000001,510.9895000000001,532.0,2025-01-22 15:45:00-05:00,2025-01-22 09:30:00-05:00,-2.43,eod_close,524.8,529.57,0.009089,9.29024999999999,2025-01-22,9,-21.87,1.43,-23.3,10133.76,0.0023
gap_fill,short,527.25,535.6851928571429,510.3796142857143,529.3305,2025-02-10 15:45:00-05:00,2025-02-10 09:30:00-05:00,-2.0805,eod_close,522.92,527.25,0.00828,8.435192857142848,2025-02-10,9,-18.72,1.42,-20.15,10113.61,0.0043
gap_fill,long,522.29,514.0978714285715,538.6742571428571,527.9999,2025-02-12 15:45:00-05:00,2025-02-12 09:30:00-05:00,5.7099,eod_close,527.99,522.29,-0.010796,8.192128571428542,2025-02-12,9,51.39,1.41,49.98,10163.59,0.0
gap_fill,short,487.74,499.9039285714286,463.4121428571429,490.57,2025-03-24 15:45:00-04:00,2025-03-24 09:30:00-04:00,-2.83,eod_close,480.84,487.74,0.01435,12.163928571428569,2025-03-24,10,-28.3,1.46,-29.76,10133.82,0.0029
gap_fill,long,461.92,452.3028642857143,481.15427142857146,468.9,2025-03-31 15:45:00-04:00,2025-03-31 09:30:00-04:00,6.98,eod_close,468.94,461.92,-0.01497,9.61713571428571,2025-03-31,10,69.8,1.39,68.41,10202.24,0.0
gap_fill,long,466.12,456.46822142857144,485.42355714285713,476.6147,2025-04-02 15:45:00-04:00,2025-04-02 09:30:00-04:00,10.4947,eod_close,472.7,466.12,-0.01392,9.651778571428569,2025-04-02,10,104.95,1.4,103.55,10305.79,0.0
gap_fill,long,479.56,468.1712642857143,502.3374714285714,483.72,2025-05-06 15:45:00-04:00,2025-05-06 09:30:00-04:00,4.16,eod_close,485.93,479.56,-0.013109,11.388735714285714,2025-05-06,10,41.6,1.44,40.16,10345.95,0.0
gap_fill,long,514.3,505.48319999999995,531.9336,520.8398,2025-05-19 15:45:00-04:00,2025-05-19 09:30:00-04:00,6.5398,eod_close,521.51,514.3,-0.013825,8.816799999999992,2025-05-19,10,65.4,1.54,63.86,10409.8,0.0
gap_fill,short,516.15,524.3779214285714,499.69415714285714,520.38,2025-05-27 15:45:00-04:00,2025-05-27 09:30:00-04:00,-4.23,eod_close,509.24,516.15,0.013569,8.22792142857143,2025-05-27,10,-42.3,1.55,-43.85,10365.95,0.0042
gap_fill,short,526.32,534.6194928571429,509.7210142857143,519.65,2025-05-29 15:45:00-04:00,2025-05-29 09:30:00-04:00,6.67,eod_close,518.91,526.32,0.01428,8.299492857142853,2025-05-29,9,60.03,1.42,58.61,10424.56,0.0
gap_fill,short,530.0,537.6636142857143,514.6727714285714,530.49,2025-06-06 15:45:00-04:00,2025-06-06 09:30:00-04:00,-0.49,eod_close,524.79,530.0,0.009928,7.663614285714289,2025-06-06,9,-4.41,1.43,-5.84,10418.72,0.0006
gap_fill,long,527.67,520.6189714285714,541.7720571428571,525.98,2025-06-13 15:45:00-04:00,2025-06-13 09:30:00-04:00,-1.69,eod_close,533.66,527.67,-0.011224,7.051028571428568,2025-06-13,9,-15.21,1.42,-16.63,10402.09,0.0022
gap_fill,short,530.51,537.5260285714286,516.4779428571428,534.19,2025-06-16 15:45:00-04:00,2025-06-16 09:30:00-04:00,-3.68,eod_close,526.96,530.51,0.006737,7.0160285714285635,2025-06-16,9,-33.12,1.43,-34.55,10367.54,0.0055
gap_fill,short,532.26,538.7774571428571,519.2250857142857,526.05,2025-06-20 15:45:00-04:00,2025-06-20 09:30:00-04:00,6.21,eod_close,528.99,532.26,0.006182,6.5174571428571335,2025-06-20,9,55.89,1.44,54.45,10421.99,0.0002
gap_fill,short,536.9,543.4867428571429,523.7265142857143,539.88,2025-06-24 15:45:00-04:00,2025-06-24 09:30:00-04:00,-2.98,eod_close,531.65,536.9,0.009875,6.586742857142846,2025-06-24,9,-26.82,1.45,-28.27,10393.72,0.003
gap_fill,short,560.26,565.6421428571429,549.4957142857143,557.9701,2025-07-15 15:45:00-04:00,2025-07-15 09:30:00-04:00,2.2899,eod_close,556.21,560.26,0.007281,5.382142857142859,2025-07-15,9,20.61,1.51,19.1,10412.82,0.0011
gap_fill,short,570.77,575.4722285714286,561.3655428571428,567.31,2025-07-29 15:45:00-04:00,2025-07-29 09:30:00-04:00,3.46,eod_close,568.14,570.77,0.004629,4.702228571428561,2025-07-29,9,31.14,1.54,29.6,10442.41,0.0
gap_fill,short,574.54,579.3358,564.9484,564.9484,2025-07-31 14:15:00-04:00,2025-07-31 09:30:00-04:00,9.5916,target,568.02,574.54,0.011478,4.795800000000002,2025-07-31,9,86.32,1.55,84.77,10527.19,0.0
gap_fill,long,558.85,553.5527714285714,569.4444571428571,553.5527714285714,2025-08-01 09:49:00-04:00,2025-08-01 09:30:00-04:00,-5.2972,stop,565.01,558.85,-0.010902,5.297228571428572,2025-08-01,9,-47.67,1.51,-49.18,10478.0,0.0047
gap_fill,short,559.05,564.9197285714285,547.3105428571428,563.3999,2025-08-04 15:45:00-04:00,2025-08-04 09:30:00-04:00,-4.3499,eod_close,553.88,559.05,0.009334,5.869728571428571,2025-08-04,9,-39.15,1.51,-40.66,10437.34,0.0085
