direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,or_high,or_low,range_pct,atr,vwap_at_entry,rvol_at_entry,candle_strength,filters_passed,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
long,481.28,470.5983928571428,502.6432142857143,482.8525,2024-07-22 15:45:00-04:00,2024-07-22 09:38:00-04:00,1.5725,eod_close,481.28,479.44,0.00383,7.121071428571428,480.37375889468177,0.9565707377964117,0.8727272727272647,candle_strength,2024-07-22,14,22.02,2.02,19.99,10254.84,0.0
short,472.43,483.04785714285714,451.19428571428574,465.01,2024-07-24 15:45:00-04:00,2024-07-24 09:35:00-04:00,7.42,eod_close,474.19,472.43,0.003718,7.0785714285714265,473.3920609534404,0.6988256989412177,0.8473799126637245,candle_strength,2024-07-24,14,103.88,1.98,101.9,10356.74,0.0
short,461.81,473.83785714285716,437.7542857142857,461.39,2024-07-25 15:45:00-04:00,2024-07-25 09:35:00-04:00,0.42,eod_close,463.95,461.81,0.004623,8.018571428571429,462.74244907024405,0.7019058380529105,0.9553218180063934,candle_strength,2024-07-25,12,5.04,1.66,3.38,10360.11,0.0
short,460.8932,473.6442714285714,435.3910571428571,463.07,2024-07-26 15:45:00-04:00,2024-07-26 09:42:00-04:00,-2.1768,eod_close,462.71,460.8932,0.003934,8.500714285714285,461.70801623977974,0.5502047671474954,0.8103448275862761,candle_strength,2024-07-26,12,-26.12,1.66,-27.78,10332.33,0.0027
long,465.9,452.5848214285714,492.53035714285716,465.12,2024-07-29 15:45:00-04:00,2024-07-29 09:38:00-04:00,-0.78,eod_close,465.9,464.2,0.003656,8.876785714285717,465.2758101815765,0.9840189446258636,0.60348837209302,candle_strength,2024-07-29,11,-8.58,1.54,-10.12,10322.22,0.0037
long,468.348,454.04753571428574,496.94892857142855,472.09,2024-07-31 15:45:00-04:00,2024-07-31 09:40:00-04:00,3.742,eod_close,468.348,466.41,0.004147,9.533642857142862,467.4004976167449,0.5716697937833094,0.8811881188118756,candle_strength,2024-07-31,10,37.42,1.41,36.01,10358.23,0.0002
long,450.98,435.11685714285716,482.70628571428574,447.66,2024-08-02 15:45:00-04:00,2024-08-02 09:38:00-04:00,-3.32,eod_close,450.98,448.285,0.005994,10.575428571428583,449.83673488173133,0.9227316595630711,0.8829729729730011,candle_strength,2024-08-02,9,-29.88,1.22,-31.1,10327.13,0.0032
long,428.29,411.54078571428573,461.7884285714286,433.77,2024-08-05 15:45:00-04:00,2024-08-05 09:36:00-04:00,5.48,eod_close,428.29,423.45,0.011365,11.166142857142868,426.120154198073,0.7289522812182372,0.9278846153846004,candle_strength,2024-08-05,9,49.32,1.16,48.16,10375.3,0.0
short,437.0,455.8931428571429,399.2137142857142,443.18,2024-08-06 15:45:00-04:00,2024-08-06 09:36:00-04:00,-6.18,eod_close,439.54,437.0,0.005796,12.595428571428581,438.1702591287372,0.8301561850155506,0.8790322580645298,candle_strength,2024-08-06,8,-49.44,1.05,-50.49,10324.81,0.0049
long,448.12,429.45507142857144,485.4498571428571,437.145,2024-08-07 15:45:00-04:00,2024-08-07 09:37:00-04:00,-10.975,eod_close,448.12,446.15,0.004406,12.443285714285723,447.29332835009495,0.6985653034300792,0.9557522123894205,candle_strength,2024-08-07,8,-87.8,1.08,-88.88,10235.93,0.0134
short,439.8,459.021,401.358,447.61,2024-08-08 15:45:00-04:00,2024-08-08 09:37:00-04:00,-7.81,eod_close,441.43,439.8,0.003699,12.814000000000009,440.639363734634,1.007649315928122,0.9194630872483196,candle_strength,2024-08-08,7,-54.67,0.92,-55.59,10180.34,0.0188
short,446.73,466.6442142857143,406.9015714285714,450.62,2024-08-09 15:45:00-04:00,2024-08-09 09:35:00-04:00,-3.89,eod_close,448.08,446.73,0.003017,13.276142857142869,447.3546700174133,0.6834280376741652,0.6217971530249312,candle_strength,2024-08-09,7,-27.23,0.94,-28.17,10152.17,0.0215
short,471.44,483.1589964285714,448.00200714285717,460.53,2024-09-03 15:45:00-04:00,2024-09-03 09:35:00-04:00,10.91,eod_close,473.33,471.44,0.004001,7.812664285714289,472.2010563712385,0.9977420693650543,0.9024390243902625,candle_strength,2024-09-03,12,130.92,1.7,129.22,10281.39,0.0091
long,459.9188,447.62231428571425,484.5117714285714,460.95,2024-09-04 15:45:00-04:00,2024-09-04 09:41:00-04:00,1.0312,eod_close,459.9188,458.24,0.003657,8.197657142857143,459.0935058059091,1.1447310529759245,0.9728506787330569,candle_strength,2024-09-04,12,12.37,1.66,10.72,10292.11,0.008
long,460.46,448.16236785714284,485.05526428571426,459.9901,2024-09-05 15:45:00-04:00,2024-09-05 09:35:00-04:00,-0.4699,eod_close,460.46,458.97,0.003241,8.198421428571423,459.6404618178363,0.7163335737650197,0.8685344827586386,candle_strength,2024-09-05,12,-5.64,1.66,-7.3,10284.82,0.0087
short,459.27,471.0673821428571,435.6752357142857,449.7,2024-09-06 15:45:00-04:00,2024-09-06 09:36:00-04:00,9.57,eod_close,461.22,459.27,0.004237,7.864921428571425,460.21411055539926,0.7547888756812126,0.9359999999999673,candle_strength,2024-09-06,13,124.41,1.79,122.62,10407.43,0.0
short,456.01,468.5680964285714,430.8938071428572,458.44,2024-09-10 15:45:00-04:00,2024-09-10 09:36:00-04:00,-2.43,eod_close,457.82,456.01,0.003961,8.372064285714279,456.8131594776246,1.0114146223157183,0.9315068493150547,candle_strength,2024-09-10,12,-29.16,1.64,-30.8,10376.63,0.003
short,458.45,471.2813107142857,432.7873785714285,466.81,2024-09-11 15:45:00-04:00,2024-09-11 09:35:00-04:00,-8.36,eod_close,459.94,458.45,0.003245,8.554207142857138,459.1423117540022,0.6235899571518901,0.8712871287128746,candle_strength,2024-09-11,12,-100.32,1.65,-101.97,10274.66,0.0128
long,469.14,454.9115464285714,497.59690714285716,473.1853,2024-09-12 15:45:00-04:00,2024-09-12 09:37:00-04:00,4.0453,eod_close,469.14,467.43,0.003652,9.48563571428571,468.37735513012336,0.8272140909852419,0.914285714285739,candle_strength,2024-09-12,10,40.45,1.41,39.05,10313.71,0.009
short,470.9,484.2553357142857,444.1893285714285,473.315,2024-09-16 15:45:00-04:00,2024-09-16 09:35:00-04:00,-2.415,eod_close,473.28,470.9,0.005041,8.903557142857137,471.99986139207385,0.6688157649105073,0.530720555215356,candle_strength,2024-09-16,11,-26.57,1.55,-28.12,10285.59,0.0117
short,491.99,503.614025,468.74195,489.58,2024-09-26 15:45:00-04:00,2024-09-26 09:35:00-04:00,2.41,eod_close,493.7,491.99,0.00347,7.749349999999997,492.5710064740726,0.6272086839871582,0.9677419354838088,candle_strength,2024-09-26,13,31.33,1.92,29.41,10315.0,0.0089
short,485.55,496.2879535714286,464.07409285714283,481.27,2024-10-01 15:45:00-04:00,2024-10-01 09:35:00-04:00,4.28,eod_close,488.0,485.55,0.005033,7.158635714285708,486.4710294723596,1.9243863895884123,0.7518918918918779,candle_strength,2024-10-01,14,59.92,2.04,57.88,10372.88,0.0033
long,481.36,471.52750000000003,501.025,480.5099,2024-10-03 15:45:00-04:00,2024-10-03 09:35:00-04:00,-0.8501,eod_close,481.36,479.37,0.004143,6.554999999999991,480.41206352215903,0.6135296391589248,0.5447735784815266,candle_strength,2024-10-03,15,-12.75,2.17,-14.92,10357.96,0.0048
short,493.99,503.4116071428572,475.14678571428567,491.78,2024-10-17 15:45:00-04:00,2024-10-17 09:35:00-04:00,2.21,eod_close,496.49,493.99,0.005048,6.281071428571429,495.08768768979184,1.3741212336869235,0.8289473684210565,candle_strength,2024-10-17,16,35.36,2.37,32.99,10390.95,0.0016
short,489.65,498.5230357142857,471.90392857142854,485.9644,2024-10-31 15:45:00-04:00,2024-10-31 09:45:00-04:00,3.6856,eod_close,492.43,489.65,0.005661,5.915357142857131,490.52600277804635,1.446111370657205,0.5342045454545506,candle_strength,2024-10-31,17,62.66,2.5,60.16,10451.11,0.0
long,487.0,477.22589285714287,506.54821428571427,487.9,2024-11-01 15:45:00-04:00,2024-11-01 09:40:00-04:00,0.9,eod_close,487.0,485.2,0.003703,6.516071428571418,486.1405840046578,0.6326177307542622,0.8292682926829302,candle_strength,2024-11-01,16,14.4,2.34,12.06,10463.17,0.0
short,485.0,494.9273964285714,465.1452071428572,486.33,2024-11-04 15:45:00-05:00,2024-11-04 09:35:00-05:00,-1.33,eod_close,487.32,485.0,0.004772,6.618264285714275,486.27541740091704,0.6950173128544895,1.0,candle_strength,2024-11-04,15,-19.95,2.18,-22.13,10441.04,0.0021
long,502.0899,492.37084285714286,521.5280142857143,505.9501,2024-11-06 15:45:00-05:00,2024-11-06 09:35:00-05:00,3.8602,eod_close,502.0899,500.2708,0.00363,6.479371428571418,501.21134698559854,1.7219736828610401,0.6280487804877934,candle_strength,2024-11-06,16,61.76,2.41,59.35,10500.39,0.0
short,503.98,514.4223892857143,483.09522142857145,505.55,2024-11-21 15:45:00-05:00,2024-11-21 09:35:00-05:00,-1.57,eod_close,506.96,503.98,0.005896,6.961592857142867,505.421334382873,0.8197864720342104,0.9801980198019418,candle_strength,2024-11-21,15,-23.55,2.27,-25.82,10474.58,0.0025
long,512.92,503.3394357142857,532.0811285714285,515.5399,2024-12-02 15:45:00-05:00,2024-12-02 09:35:00-05:00,2.6199,eod_close,512.92,510.62,0.004494,6.387042857142855,512.1296716634362,0.7164439469139258,0.6249999999998815,candle_strength,2024-12-02,16,41.92,2.46,39.46,10514.03,0.0
short,533.77,542.5145714285715,516.280857142857,516.280857142857,2024-12-18 15:40:00-05:00,2024-12-18 09:35:00-05:00,17.4891,target,535.67,533.77,0.003553,5.829714285714284,534.6105290428227,0.9367446396696055,0.784615384615398,candle_strength,2024-12-18,18,314.8,2.88,311.92,10825.95,0.0
short,524.26,536.4942035714286,499.79159285714286,520.45,2024-12-27 15:45:00-05:00,2024-12-27 09:35:00-05:00,3.81,eod_close,526.45,524.26,0.004169,8.156135714285723,525.2871674289491,1.097651613147558,1.0,candle_strength,2024-12-27,13,49.53,2.04,47.49,10873.44,0.0
short,512.39,526.0684892857142,485.0330214285715,509.58,2025-01-02 15:45:00-05:00,2025-01-02 09:35:00-05:00,2.81,eod_close,514.92,512.39,0.004925,9.118992857142855,513.5300043626256,0.812776333256536,0.9981891513704699,candle_strength,2025-01-02,11,30.91,1.69,29.22,10902.66,0.0
long,514.96,501.1829392857143,542.5141214285715,518.35,2025-01-03 15:45:00-05:00,2025-01-03 09:38:00-05:00,3.39,eod_close,514.96,512.96,0.003891,9.18470714285714,514.1679088391467,0.8584952966534436,0.9611650485437236,candle_strength,2025-01-03,11,37.29,1.7,35.59,10938.25,0.0
short,509.63,524.9701892857142,478.9496214285715,507.05,2025-01-10 15:45:00-05:00,2025-01-10 09:37:00-05:00,2.58,eod_close,511.58,509.63,0.003819,10.226792857142852,510.3727068073899,2.0354693241006174,0.9747899159663617,candle_strength,2025-01-10,10,25.8,1.53,24.27,10962.52,0.0
short,516.84,530.8650321428572,488.78993571428566,515.11,2025-01-16 15:45:00-05:00,2025-01-16 09:45:00-05:00,1.73,eod_close,519.0599,516.84,0.004286,9.350021428571422,517.7258168817848,0.6477366460462687,0.511111111111229,candle_strength,2025-01-16,11,19.03,1.71,17.32,10979.84,0.0
short,520.51,534.4203785714285,492.689242857143,522.2,2025-01-17 15:45:00-05:00,2025-01-17 09:37:00-05:00,-1.69,eod_close,523.05,520.51,0.004868,9.273585714285705,521.5066705705021,0.586057476042159,0.5256410256410032,candle_strength,2025-01-17,11,-18.59,1.72,-20.31,10959.54,0.0018
long,531.1994,517.264025,559.07015,532.0,2025-01-22 15:45:00-05:00,2025-01-22 09:49:00-05:00,0.8006,eod_close,531.1994,529.26,0.003658,9.29024999999999,530.2771701465007,0.5764608240922322,0.9195402298851205,candle_strength,2025-01-22,11,8.81,1.75,7.05,10966.59,0.0012
long,514.5,501.64569642857145,540.2086071428571,513.54,2025-01-27 15:45:00-05:00,2025-01-27 09:38:00-05:00,-0.96,eod_close,514.5,510.53,0.007746,8.56953571428571,513.165328951766,0.7285712406184741,0.8407079646018135,candle_strength,2025-01-27,12,-11.52,1.85,-13.37,10953.22,0.0024
short,513.7458,527.6784535714286,485.88049285714294,522.4451,2025-01-28 15:45:00-05:00,2025-01-28 09:35:00-05:00,-8.6993,eod_close,515.63,513.7458,0.003661,9.288435714285713,514.6790242724692,0.6150631474451062,1.0,candle_strength,2025-01-28,11,-95.69,1.7,-97.39,10855.83,0.0113
short,520.84,534.9740821428572,492.5718357142856,520.67,2025-01-29 15:45:00-05:00,2025-01-29 09:37:00-05:00,0.17,eod_close,522.59,520.84,0.003354,9.422721428571435,521.6613351540989,0.6393513282092967,0.8333333333333046,candle_strength,2025-01-29,11,1.87,1.72,0.15,10855.98,0.0113
